Interval_ID,MEAN_RR,MEDIAN_RR,SDRR,RMSSD,SDSD,SDRR_RMSSD,HR
836,1004.6833333333333,1000.0,32.43685746526969,22.71749866870717,22.70787974152684,1.4278357814960814,59.72030988205239
837,998.983606557377,993.0,30.818076345153255,22.937959804655687,22.876109566289653,1.3435404285126593,60.06104565295875
838,1018.271186440678,1007.0,85.95462549714861,55.99630529683679,55.9024119968273,1.5350053015373526,58.92339958054529
839,882.5797101449275,930.0,157.7610930707331,31.841981168041073,31.759231554421085,4.954499917520007,67.9825281618444
840,980.2096774193549,980.5,97.50386875645799,55.469678617255745,55.42217827427403,1.7577867978871986,61.211393217382714
841,1025.8135593220338,1031.0,47.34563662757329,32.49562304744101,32.48228274049245,1.456985039445234,58.49016076532889
842,1009.7666666666667,1011.5,62.83453579751257,33.5091689956594,33.50793017569991,1.8751445553798074,59.41966791007824
843,1001.9666666666667,1000.0,23.094708388623474,20.422652760175694,20.422652760175694,1.1308378328626487,59.882231611164705
844,981.9677419354839,980.5,27.31947653464376,22.709859200753158,22.7064507975262,1.202978683977826,61.10180348871587
845,986.1803278688525,977.0,41.71900860016962,25.580265831300505,25.56383621881157,1.6309059833585249,60.84079990691025
846,983.7213114754098,992.0,53.927738884834135,30.785819246313174,30.785530511733736,1.751707123769083,60.992884163514255
